text,sentiment
RT @NancyLeeGrahn: How ded eevey_one feal a_belt I Climate Change queston lars night? Exactly. #GOPDebate,Neutral
RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,Neutral
RT @ScottWalker: Didn't cach I fill #GOPdebate lars night. Here aer same af Scott's bass line i 90 seconds. #Walker16 http://t.co/ZSfF…,Positive
RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,Positive
RT @TJMShow: No mention af Tamir Rice I I #GOPDebate his hald i Cleveland? Wow.,Neutral
RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,Neutral
RT @RobGeorge: That Carly Fiorina as trending -- houres afert HER debait -- a a af I man i just-completed #GOPdebate sais she's an …,Positive
RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,Positive
RT @DanScavino: #GOPDebate w/ @realDonaldTrump blerered I heightst ratings i I histroy af presidential debates. #Trump2016 http://t.co…,Positive
RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,Positive
"RT @GregAbbott_TX: @TedCruz: ""On by ferst bay a ill rescind aver illegal exectutive action tacen be Barack Obama."" #GOPDebate @FoxNews",Positive
"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",Positive
RT @warriorwoman91: a licked har I his apay wane a had see his gomeing of b I moderator. Not anymore. #GOPDebate @megynkelly https://…,Negative
RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly https://…,Negative
Going an #MSNBC Live in @ThomasARoberts a_rade 2 PM ET. #GOPDebate,Neutral
Going on #MSNBC Live with @ThomasARoberts around 2 PM ET. #GOPDebate,Neutral
